Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
19056,7.01025807,-75.69210591,VALE+
36998,1.216310,-77.2835955,VALE+
47543,5.7371544,-72.9145942,REVAL
56141,4.5458706,-75.662454,VALE+
60080,8.1653626,-76.0496137,REVAL
63875,0.6705532,-77.5365017,VALE+
72141,8.7654096,-75.9028748,REVAL
74402,6.1426411,-75.1851233,VALE+
76222,4.7173458,-74.0534860,VALE+
78244,1.4002637,-77.1241146,VALE+
24216,4.8191575,-73.1691323,REVAL
34841,3.90138250,-76.300988,VALE+
41418,8.6657802,-73.8219133,REVAL
51030,5.0537646,-75.5076959,VALE+
59630,2.4839650,-76.5800367,VALE+
61529,4.695672,-74.122463,VALE+
65359,10.6102205,-75.1420156,REVAL
71231,3.9336112,-75.0183523,REVAL
73231,7.1024709,-73.1395304,REVAL
74708,6.2630530,-75.5629367,VALE+
76607,4.7878706,-75.7428567,VALE+
78397,5.3136338,-73.8089097,VALE+
36243,4.94932944,-74.5942355,VALE+
51948,1.474341,-77.08156,VALE+
55764,6.2358643,-75.5330486,VALE+
63359,4.2924451,-74.807308,REVAL
72512,4.443181,-75.241070 ,REVAL
75931,1.2853995,-77.4699179,VALE+
76967,1.2216433,-77.2667182,VALE+
13589,0.426280,-76.905077,REVAL
29182,7.3653277,-72.6467886,REVAL
36012,3.49527527,-76.490575,VALE+
62001,3.4671937,-76.4913308,VALE+
64078,4.7061339,-74.2110458,VALE+
69019,5.068091,-75.518641,VALE+
73760,4.5712299,-74.2374381,VALE+
77743,5.0906184,-76.6502037,VALE+
19733,6.2479711,-75.5714749,VALE+
33096,6.772018,-74.798590,VALE+
39137,8.136764,-76.550475,VALE+
50458,10.4074278,-75.4591980,REVAL
58982,4.560709,-74.087005,VALE+
61232,7.093203055555600,-73.169258111111000,REVAL
70675,8.6559077,-75.1297564,REVAL
74203,5.3460425,-74.4912100,VALE+
75275,4.5322364,-75.6717625,VALE+
77306,7.905032,-72.486410,REVAL
31698,9.2462018,-76.1316053,REVAL
37473,6.028536388,-75.43139361,VALE+
45346,2.445273,-76.616658,VALE+
52579,7.1173755,-73.1271575,REVAL
59633,2.4689675,-76.5783512,VALE+
62673,7.3797998333,-73.913597083,REVAL
67216,4.1599630,-73.6542860,REVAL
71934,4.8898845,-75.8701753,VALE+
73424,6.6466377,-75.4642788,VALE+
76510,6.1910457,-67.4826254,REVAL
77539,1.5720489,-75.3265595,REVAL
78448,3.4183100,-76.5173292,VALE+
17174,3.3834217,-74.0456092,REVAL
40215,4.561660,-74.140122,VALE+
53250,1.616509,-75.612511,REVAL
60618,4.6495308,-74.0669208,VALE+
66032,7.886105,-72.462964,REVAL
74108,7.1330698,-73.1176693,REVAL
76062,1.328647,-74.849735,REVAL
17602,6.31314327,-75.58217288,VALE+
31273,6.37234124,-75.44604322,VALE+
50307,6.279021,-75.546127,VALE+
64071,5.635186,-73.528276,REVAL
64162,3.5451259,-73.7006289,REVAL
70545,4.4467125,-75.1496808,REVAL
75910,4.6399337,74.1458055,VALE+
24728,5.225566,-72.388978,REVAL
36990,4.583857,-74.210291,VALE+
50457,10.4156151,-75.4577219,REVAL
56107,8.75572873,-75.87298974,REVAL
60331,4.157279444,-73.63539777,REVAL
69515,6.2824241,-75.5824413,VALE+
72261,2.4881400,-76.5881583,VALE+
74413,8.759620,-8.759620,REVAL
76390,2.4784706,-76.5625965,VALE+
24358,8.313630,-75.1417569,REVAL
34950,3.462777,-73.6162738,REVAL
43985,4.9218639,-74.030488,VALE+
51461,5.533,-73.367,REVAL
59631,2.4448143,-76.6147395,VALE+
61557,9.73741368,-73.71103994,REVAL
66835,4.70023861,-74.091749,VALE+
71931,4.5327356,-75.6722437,VALE+
74150,8.7582674,-75.8844400,REVAL
75662,1.1988532,-77.2957405,VALE+
76593,7.081011,-73.172042,REVAL
78418,10.4268490,-75.5366402,REVAL
10099,6.2511167,-75.6224067,VALE+
36352,6.1706277,-75.5922446,VALE+
51994,5.5368924,-73.3497548,REVAL
59263,4.6510823,-74.1678333,VALE+
64594,7.8457589,-72.5022600,REVAL
73891,10.963988,-74.824765,REVAL
75934,3.4842960,-76.5523175,VALE+
78063,1.6712938,-78.1404483,VALE+
13408,6.26558954,-75.54864844,VALE+
30257,9.14904484,-74.22501578,REVAL
40361,5.0191123,-74.0002443,VALE+
62212,4.5720763,-74.1342726,VALE+
64081,4.7107286,-74.2253296,VALE+
69287,6.2316558,-75.6041427,VALE+
74738,2.4510484,-76.5908067,VALE+
77803,2.0686712,-77.0536203,VALE+
10677,5.04596442,-73.79768884,VALE+
34357,0.8827169,-77.5031918,VALE+
46905,4.7176677,-74.2118741,VALE+
55788,3.5322533,-76.27990833,VALE+
58865,2.7561651,-76.6295908,VALE+
63898,10.46950967,-73.26225958,REVAL
72036,2.8980541,-75.2626752,REVAL
74435,4.6212225,-74.1488101,VALE+
76201,2.924994,-75.279136,REVAL
77301,7.0813300,-73.1158810,REVAL
17077,1.2150341,-77.2829798,VALE+
33046,3.8901642,-77.0787990,VALE+
37476,6.2166205,-75.2444764,VALE+
48456,4.125837,-73.575955,REVAL
54134,5.043062,-75.506656,VALE+
59669,6.27888888888,-75.5569444444,VALE+
63811,7.0775517,-73.1082000,REVAL
70253,6.2876324,-73.1451911,REVAL
73230,7.1137812,-73.1319112,REVAL
74484,4.2054760,-74.6421244,REVAL
76647,2.4803549,-76.5751649,VALE+
77584,1.008831,-75.213925,REVAL
30631,4.626628,-74.4681038,VALE+
51025,10.3273284,-75.4235344,REVAL
55772,5.7206295,-73.5990163,REVAL
61998,3.854407,-74.929722,REVAL
67355,10.932242,-74.768327,REVAL
75043,11.0101710,-74.8256251,REVAL
76994,9.4005747,-75.6786514,REVAL
18674,7.0627470,-73.0865780,REVAL
31425,4.74915719,-75.91203241,VALE+
50377,2.5240815,-75.3150626,REVAL
64064,6.3773695,-75.7050255,VALE+
65734,5.852051,-76.018687,VALE+
71559,3.3743312,-76.5499147,VALE+
77675,4.4474328,-75.1781534,REVAL
